comment,polarity
দেখতে হবে না এটা কার নাটক  ভালো ত হতেই হবে  অনেক ভাল লাগছে ভাইয়া,Positive
বাংলাদেশের নাটক গুলো এতো সুন্দর কিন্তু এখন তো  সবাই ব‍্যস্ত থাকে হিন্দি সিরিয়াল গুলো নিয়ে  অসাধারণ একটি নাটক  অনেক ধন্যবাদ পরিচালক ও যারা এতো সুন্দর অভিনয় করেছেন ,Positive
ভাই হুমায়ুন এর লেখা শঙ্খচিল কারগার এর শেষের পর্ব পড়ে বুকের বা পাশে যেমন লাগে লাগছিল দীপু নাম্বার টু এর শেষ দৃশ্য দীপু তারিফ কে বলছিল হয়ত আর কোনদিন দেখা হবে না কথাটা অল্প কিন্তু এর গুরুত্ব র্মমার্থ বুকের ধক করে উঠেছিল আজ আপনার নাটকের শেষ দৃশ্য টা দেখে ঠিক এমন একটা ফিল হল এগিয়ে যান ভাল কিছু হবে পাবে নাটক সহ এ মিডিয়া জগত এটা আশা করা যেতেই পারে আর অমি দার সাথে আছেন রাজ দার সাথে আছেন ফুটে তোলা কাস্ট একটিং ডিরেকশন সব মিলে এত লং নাটক সাধারণত দেখা হয় না দেখি না বাট এটা পারফেক্ট ফ্লেবারই মনে হইছে অনেক অনেক শুভকামনা ভাই,Positive
বাপরে বাপ এমন মেয়েকে বিয়ে করা আর মৃত্যুকে কাছে টেনে আনা একই কথা ,Negative
এই নাটকটা যে বানাইছে তারে মুবিল না দিয়ে কাঁঠালের আঠা দিয়ে পুকটি মারার দরকার ছিলো যাতে সারাজীবন ওর পুটকি থেকে বাড়া না বের হয় বাইনচুদের দলেরা,Negative
শাওন ভাইয়ের মত একজন অভিনেতা তার ছিরাডির সাথে অভিনয় যায় না,Negative
ছি ছি এরকম নাটক সমাজকে ধ্বংস করে দিবে,Negative
আমার জীবনের শ্রেষ্ট ও ফানি একটা নাটক,Positive
খুবই সুন্দর,Positive
আমার দেখা এবছরের সেরা নাটক...,Positive
আমার জীবনের সবচাইতে বেস্ট একটা নাটক,Positive
সত্যি নাটকটা অসাধারণ ছিল ,Positive
অসাধারণ একটা নাটক,Positive
সব থেকে ভাল লেগেছে নামাজ কথা,Positive
মন জুড়ানো একটা নাটক অসাধারন দিল খুস হয়ে গেলো দারুন দারুন,Positive
একই কনসেপ্ট   একই কাস্টিং  একই কাহিনী   আর কত রে ভাই?? নতুন কিছু না পারলে অফ যাও না ,Negative
কাজ শুরু করাই হলো  সাফল্যের মূল চাবিকাঠি – পাবলো পিকাসো#বিখ্যাত স্প্যানিশ চিত্রশিল্পী,Positive
নাটক আর নাটক নাই      হয়ে আশ্লিলে ভরা,Negative
বালের নাটক এমন উদ্ভট নাটক করে কোন পরিচালক 🤬🤬,Negative
আমার জীবনে দেখা নাটক গুলির এটাই সেরা   ,Positive
কি নাটক বানাইছেন মিয়া  শেষ পযন্ত কানদাঁইয়া ছাড়লেন  এক কথাই অসাধারণ  এমন নাটক আরো চাই,Positive
দুনিয়ার ফালতু একটা নাটক,Negative
বেশি নেকামি.তাই কিছুখন দেখে বাদ দিলাম,Negative
বালের নাটক,Negative
অনেক ভালো বাসি ভাই  ,Positive
অসাধারণ নিশো ভাই,Positive
সেই আগের ডাইলগ....  বাংলাদেশের নাটক সেক্টরটাও মনে হয় আর বেশি দিন টিকবেনা!! ফরমালিন ঢুকে গেছে!!!,Negative
এক কথায় নাটক টা অসাধারণ হয়েছে,Positive
অসাধারণ একটা নাটক,Positive
শালা আসোলেই পেটুক,Negative
অনেক সুন্দর নাটক ,Positive
অনেক অনেক অনেক সুন্দর হয়েছে আমার জীবনে সতে মিলে গে...Tnx...,Positive
এই ঈদের ফালতু নাটকসময়টা নস্ট করলাম,Negative
নিশো&মেহেজাবিন আপুর জুটি সর্ব কালের সেরা,Positive
এই নাটকের সবচেয়ে ভালো দিক টা হলো নামাজ নিয়ে মেসেজ দেয়াটা ধন্যবাদ পরিচালক,Positive
অসাধারন নিশো ভাই,Positive
সবকিছুই ঠিক ছিলো.......কিন্তু...!.তিশার জামাকাপড় এর ব্যবহার টা মূলত  সঠিকভাবে হয় নি.......এই বিষয় গুলো খেয়াল রাখা অতীব জরুরী,Positive
ফালতু একটা নাটক,Negative
রিয়াজ সেরা নায়ক,Positive
ঈদে আফরান নিশোরঃ___১ আনোয়ার দ্যা প্রোডাকশন বয়২  মন বদল ৩  শেষটা সুন্দর ৪  The End৫  Crazy Lovers৬  Breakup৭  I am Honest ৮  আমার বউ৯  The Tailor ১০  Lovely Wife ১১  X-Wife১২  Tom & Jerry ১৩  এই শহরে ভালোবাসা নেই১৪  মিঃ অজুহাত ১৫  Bad Manএই নাটক গুলোর মধ্যে বসের কোন নাটক আপনাদের বেশ ভালো লেগেছে  কমেন্টস এ জানিয়ে দিন ,Positive
অনেক অনেক অনেক সুন্দর হয়েছে,Positive
অসাধরন নাটকটা কাহনী       ,Positive
হিজাব পরলে কিন্ত মেয়ে দেরকে অনেক টা সুন্দর লাগে তার প্রমান কিন্ত এই নাটক টাতে বুজা জাই,Negative
অসাধারণ একটা নাটক উপহার দিয়েছেন নিশো ভাইয়া অাপনি,Positive
বস তো বসই - সেরার সেরা,Positive
অসম্ভব সুন্দর একটা নাটক আরিয়ান ভাইকে কে শুভেচ্ছা আরেকবার এত ভালো একটি নাটক আমাদের উপহার দেওয়ার জন্য গান এবং বেক গ্রাউন্ড মিউজিক অনেক সুন্দর লেগেছে .......আপনার শুভ কামনায় ........,Positive
স্পিচলেস.....এক কথায় অসাধারণ বান্নাহ ভাইয়ের গল্প আর স্কৃিন প্লে'র নিখুঁত সমন্বয়  আর অভিনয়ের ক্ষেত্রে নিশোর পরেই ইরফান সাজ্জাদ,Positive
কবির সিং মুভির মতো লাগলো  শেষটা ভালো ছিল  ধন্যবাদ সবাইকে এত সুন্দর নাটক উপহার  দেওয়ার জন্য,Positive
#NAME?,Positive
এই কারনেই বাংলাদেশের নাটকের কোনো দাম নাই কি বাজার করতে দিলো বাজার থেকে কি সবকিছু বেটে আনবে ফালতু কোনো নাটক হইলো এটা??দেখে মেজাজটা খারাপ হয়ে গেলো,Negative
আ মি দেখে হেসেছি  নিজেকে উপলব্ধি করেছি  আর জিবনের শেস পরিনতি দেকতে পেয়ে কেদেছি  অসাধারন একটি নাটক ,Positive
অনেক ভালো একট নাটক উপহার দিলেন অমি ভাই সত্যি দেখে মন টা ভরে গেলো    বিশেষ করে নামাযের উপদেশ টা েদওয়াতে,Positive
ভালোবাসা মনে সবসময় কিছু পাওয়া নয় কখনো হেরে গিয়েও ভালোবাসা যায়,Positive
অসাধারণ একটা নাটক,Positive
এককথায় সুপার অসাধারণ  নাটকের ছোট ছোট দিক গুলো এত ক্লিন এত ভালো লাগছে প্রত্যেকটা মানুষের সাথে মিল খুঁজে যাওয়াই অবশ্যক !!,Positive
খুব সুন্দর একটা নাটক,Positive
ওদের চোখের পানি ঝরাচ্ছেন ভালো  কিন্তু সাথে আমাদের টাও কেন?,Positive
দারুণ নাটক বুড়ো  ইরফান সাজ্জাদ এর অসাধারণ অভিনয়  চাটগাঁইয়া ফোয়া ন না.....,Positive
আমার একটা মায়া ছিল  সত্যি অনেক ভালোবাসি মায়া তোমায়,Positive
ভাতের জিনিস টা খুব ভালো লাগছে,Positive
অসাধারণ একটি নাটক,Positive
ত্রসব কি কোন নাটক হইলো  ফালতু,Negative
সেরা  একটা নাটক,Positive
অসাধারণ গল্প.. জীবনের সাথে এই জিনিসগুলো মিলিয়ে নিতে পারলে আমরা সবাই সুখে থাকতে পারবো..,Positive
নাটক : শেষ দেখা রচনা : হুমায়ুন কবিরপিষ্ঠা : ৪৭মিনা : আইচ্ছা আম্মা   আমি কলে থাইকা পানির জগটা ভইরা নিয়া আইতাছি  এদিকে কলে হাত মুখ ধুইতেছে সুমন  ভাবী : কি নায়ক   দেখা হইছে নাইকার লগে? সুমন : কি আবোল তাবোল কথা কও ভাবী   মাথা ঠিক আছে তোমার? ভাবী : আমার মাথা তো ঠিকই আছে   কিন্তু আমার দেবরের মাথাটা মনে হয় ঠিক নাই   কি দেখা হইছে পারুলের লগে? সুমন : ভাবী তুমি এডি কি কও   পারুলের লগে আমি দেখা করতে যামু কোন দুঃখে   ভাবী : দেহ সুমন আমি কিন্তু সব জানি   সারাবিকাল তুমি কই আছিলা? তুমি কি মনে করছো আমি কিছুই জানিনা   কি কমু আম্মার কাছে গিয়া? সুমন : ভাবী তোমার দুইটা পায়ে ধরি মায়রে কিছু কইওনা  ভাবী : এইতো এহন লাইনে আইছো   আমার লগে কখনই চালাকি করবানা বুচ্ছ   এহন চুপচাপ ভাত খাইতে চল,Negative
আমার দেখা সেরা নাটক ,Positive
অসাধারণ এক কথায়,Positive
Afran Nisho আপনি আপনার carrier নষ্ট করছেন  আশা করসি এই ধরনের নাটক করবেন না  বাঙ্গালী যে কাউ ক তুলতে পারে আবার মুহূর্তের মধ্যে নামাতে পারে   সাফা কবিরের দিকে তাকান একটু   so  নাটক কে নাটকের জায়গায় রাখুন  অশ্লীল কিছু দেখার জন্য আমরা নাটক দেখি না   আশা করি বুঝতে পারছেন  আপনার একজন ফ্যান,Negative
নামাজের জন্য তাগিদ দেওয়া হয়েছে কিন্তু মেয়ে মানুষের গায়ে হাত দিয়ে এটা অভদ্রতা,Negative
তুমি আমারই নাটক টা এক কথায় অসাধারণ হয়েছে  নাটক টা দেখার পরে চোখে পানি চলে আসলো ,Positive
খুব ভালো লাগলো,Positive
ফুলির অভিনয় অসাধারণ,Positive
কোন আবালে এইধরনের ফাতলু গল্প লিখছে এমবি ও সময় দুটায় নষ্ট করলাম গল্পের আগা মাথা কিছুই ঠীক নাই,Negative
ভাই   এর সেরা নাটক  শিশু ভাই আর মেহজাবিন আপু আসাধারন,Positive
দুষ্টামিটার সেই লেভেলের ছিলো,Negative
ভাল  ঠিক কতটা ভাল বলে বোঝানো যাবে  না ,Positive
বস দুজনেই ফাটিয়ে দিছেন   খুব ভালো লাগলো নাটক টা,Positive
অনেক সুন্দর,Positive
ফালতু একটা নাটকককএই মাতারি মার্কা নাটক বানাইছে কোন মাদারটোস,Negative
বাবা protection নিছএইগুলা কি  ফাজলামোর একটা লিমিট আছে ,Negative
বাংলাদেশের নাটক আস্তে আস্তে অশ্লীলতার দিকে চলে যাচ্ছে আর এটাকেই মানুষ স্মার্টনেস মনে করে তিশা একটু অশালীন ,Negative
এই নাটক টা দেখে চোখে পানি চলে আসচ্ছে এই রকম সুন্দর নাটক আরো চাই ,Positive
গুড খারাপ না,Positive
Ziaur Haque polash  ধন্যবাদ আপনাকে এই রকম একটা নাটক উপহার দেওয়ার জন্য সব মিলে গরম মশলা           ভালো ছিল,Positive
খুব ভাল লাগল নাটকটা,Positive
শেষের দিকে মুখের দাড়ি গুলা থাকলে ভালো লাগতো,Positive
আনন্দ খালেদের সাথে অপূর্বের বেশ জমে,Positive
হ্যালো বন্ধুরা আশা করি সবাই ভালো আছো. বাংলাদেশের নাটকের একটি নায়ক অপূর্ব. নামের মতোই তার অভিনয় সুন্দর. কথা বলার স্টাইল  চুল  ব্যবহার লোকের সাথে সব মিলিয়ে অল টাইম গ্রেট. আই লাভ অপূর্ব. কলকাতা থেকে SAMEER Khan.,Positive
সেরা সেরা,Positive
সত্যি নিশো ভাই তুমি বাংলা নাটকের কিংবদন্তি আর মেহজাবিন আপু তুমিও   I love you Nisho bhai..And Mehjabin apu..,Positive
অধিকাংশই বানান ভুল করে কমেন্টস্ করেছে এটা দৃষ্টিকটু,Negative
অসাধারন একটি গল্প    ,Positive
ফালতু একটা নাটক দেখলাম,Negative
অসম্ভব জঘন্য হইছে     এইসব খোর দিয়ে আর নাটক বানাবেন না প্লিজ plz plz.,Negative
এই প্রথম বেতিক্রম একটা নাটক দেখলাম,Positive
খুব সুন্দর নাটক,Positive
নায়িকা চরিত্রে যে হিজাব ব্যবহার করা হয়েছে  তা ইসলাম এর হিজাবকে অবমাননাকর এবং ইসলাম এর পবিত্র আদর্শকে পূজি করে ব্যবসা করা যা সমাজের নারীদের ভুল শিক্ষা দিচ্ছে  অপূর্ব ভাই ও কি এসব ভাবেনি নাকি বোঝেই না? তার কাছ থেকে এটা আশা করা যায় না  সংশ্লিষ্ট সকলের কাছে অনুরোধ ইসলামের ব্যাপারে সচেতন হউন জানুন বুঝুন মহান আল্লাহ্‌ আমাদের সঠিক জ্ঞান দান করুন  আমীন  ,Negative
অসাধারণ লাগছে নাটক টা,Positive
এই সমস্ত নাটকের জন্য আজ সমাজের বেহাল অবস্থা,Negative
এক কথায় অসাধারণ    ভালবাসা নিশো ভাই,Positive
বাহ!! বাহ!! এক কথার অসাধারন,Positive
আমি নাটকটি দেখে অনেক মুগ্ধ  হইয়েছি  আমাদের বাংলাদেশের পরিচালক যেনো ধরনের নাটক বানাইয়  এইটা আমাদের প্রবাসী ভাইদের পক্ষা বলছি ,Positive
ফালতু একটা নাটক ,Negative
আমি শিহরিত এই গল্পের নাটক দেখে এর সেরা নাটক হয়েছে,Positive
সবনম ফারিয়া কে দেখলে আমার মেজেজটা খারাপ হয়ে যায়   মেয়েটা কেমন যেনো বুড়া বুড়া  মেজাজ খারাপ ,Negative
ইউটিউবে ভিউ বাড়ানোর লক্ষ্যে নাটকের নামে দুদু/ সোনা যুক্ত করা দেখে খুব সস্তা লাগলো  স্ক্রিপ্টের সে কি দশা!!!,Negative
নাটক টা দেখার পর কি যেন একটা অনুভূতি হচ্ছে  যা সবাইকে বুঝিয়ে বলা যায় না ভাই তুমি সেরা,Positive
এতো ফালতু নাটক কেমনে হয়!!!,Negative
নাটকের মাধ্যমে চাটুকারিতা শেখানো হচ্ছে ,Negative
টেলিফিল্ম টা অনেক ভালো লেগেছে মাত্র ৫৩ মিনিট এ পুরো জীবনের বাস্তবতা টা দেখে নিয়েছি অনেক খারাপ লেগেছে শেষের জায়গাতে কারণ বর্তমানের অনেক ছেলে মেয়েরা এমনই করে বেশির ভাগ তা খবর পত্রিকাতে দেখা জায় এসব ভাবলে আর দেখলে সত্যিই অনেক খারাপ লাগে ,Positive
আমার দেখা  best নাটক....অনেক অনেক ভাল লাগল...,Positive
ধন্যবাদ অমি ভাই এত সুন্দর একটা মেসেজ দেওয়ার জন্য,Positive
ভাই এইটাই  ভালে জীবন   সব সময় আল্লাহ কে মনে রাখা   শামনে আরে আশা করি এরকম ভালে নাটক পাবে,Positive
অসম্ভব সুন্দর ছিলো এই নাটক টা ধন্যবাদ আরিয়ান ভাই,Positive
নিশো ভাইয়ের শুরু থেকে শেষ পর্যন্ত কথাগুলো ছিল খুবই লজিক্যাল  এন্ড স্টোরিটা খুবই ভাল,Positive
যত বার দেখি ততবার ভালো লাগে অসাধারণ,Positive
দেখতে গিয়েই থমকে গেলাম অশ্লীলতা দেখে এমন নাটক হলে নাটক দেখাই বর্জন করবো,Negative
অনেক দিন পর ekta সুন্দর নাটক দেখলাম ,Positive
মেয়েরা এতো পাজি হয় কেমন করে আবার ক্ষমাও পেয়ে যায়,Negative
বাস্তবতাকে কেন্দ্র করে খুব সুন্দর একটি গল্প  অভিনয় গুলো ও খুব ভাল লেগেছে  ,Positive
সালারা আবাল বালের নাটক করে,Negative
একদম ঠিক ভাই  আমি ভারতীয় তবুও বলবো এই নাটক গুল বুকে গেঁথে যাই  অসাধারণ এই সব নাটক  বার বার দেখতে ইছে করে সকল বাংলাদেশী দের বলি  এই নাটক গুল কে সন্মান দিন  ভালো বাসুন দেখবেন একদিন এই নাটক গুলই বাংলাদেশ কে আলাদা ভাবে  সমস্ত দুনিয়ার কাছে দারুণ ভাবে তুলে ধরবে একমাত্র বাংলাদেশী ই গ্রাম বাংলা বাঁচিয়ে রেখেছে  ধন্যবাদ সকলকে যারা এই সব নাটক উপহার দিছেন আমাদের ,Positive
অভদ্র নোংরা অসভ্য নাটক,Negative
টাইম নস্ট করলাম   ফালতু পরিচালক,Negative
অসংখ্য ধন্যবাদ পরিচালক কে  এবং প্লেয়ার বিন্দু কে  বর্তমান সমাজের সাথে মিলে গেছে নাটক টি..তাই করো পরিবারে শান্তি নেই....??,Positive
মোশাররফ করিমের এমন নাটকে অভিনয় করা উচিত ছিল না,Negative
এটা সত্যিই একটা অসাধারণ নাটক  অনেক দিন পরে এত সুন্দর একটা নাটক দেখলাম ,Positive
টাংগাইলের ছেলে বলে কথা এক কথায় অসাধারণ নাটক আরফান নিশো ভাই,Positive
আমি পশ্চিমবঙ্গ থেকে বলছি আমি যখনি সময় পাই তখনি এই নাটকটা দেখী কতবার যে দেখেছি জানিনা আমার জানার খুব আগ্ৰ্য হয় ব্যাচ টুয়েটী সেভেটি তৃতীয় পাট্ আসবে?,Positive
বোকা ছেলেরাই বেশি কেয়ারিং হয় মেয়েদের এটা বুঝতে হবে   ,Negative
আমার দেখা নাটক এর মধ্যে এটা একটা সেরা নাটক wow দারুন বাস্তব  অপূর্ব দারুন খুব মন দিয়ে দেখেছি নাটক টা ami ইন্ডিয়া ওয়েস্ট বেঙ্গল থেকে,Positive
অসাধারণ,Positive
আমার থেকে ভালো কাউকে পাবেন... বলেছেন মাইয়া,Positive
আমার জীবনের দেখা সেরা নাটক তুমি আমারই,Positive
বস তোমার নাটকের আশায় সব সময় থাকি নাটকটা অসাধারন চিলো অনেক ভালো লেগেচে  ?,Positive
নাটক বানাতো হুমায়ুন আহমেদ এখনকার নাটক গুলা ছাগলামিতে ভরা ,Negative
আমার দেখা best  নাটক    অসাধারণ   ,Positive
অসাধারণ নাটক ,Positive
অসাধারণ ভাই অমি,Positive
নিশো ওভিনয় খুব ভালো লাগছে,Positive
এটা কোন নাটকের কাহিনী হলো  শেষে যে ফিনিশিংটা দিলো সেটা কি কোনদিন হয়  ফালতু চিন্তা ভাবনা  মজা ঠিক আছে কিন্তু xx হয়েগেছে আরকি  বাবা কি এই ধরনের ভুমিকায় থাকতে পারে আজব লাগে ,Negative
খুব সুন্দর একটা নাটক অনেক ভালো লাগলো   ধন্যবাদ,Positive
সবাইকে ঈদের শুভেচ্ছা       নাটক অনেক ভালো লাগছে ,Positive
বাস্তব কাহিনী,Positive
সেরা ফিনিশিং,Positive
এক কথায় অসাধারণ,Positive
নাটকের শেষের কথা গুলি খুব ভাল লাগলো....,Positive
খুব খুব ভালো হইছেধন্যবাদ এই নাটকে যারা কাজ করেছে তাদের সবাই কে..আরিয়ান ভাই আপনি বেস্ট...,Positive
ভালোবাসায় কি আর বিধুফা বিবাহিতা মানে কখন কারে ভালো লেগে যায় মনের অজান্তেই ভালো থাকুক পৃথিবীর সকল ভালোবাসা গুলা নিশো ভাই টাংগাইলের গর্ব  ভালোবাসা অভিরাম ভাই,Positive
অর্পব মানেই নাটক সুপার ডুপার ,Positive
নাটকটা খুব ভালো লাগলো  অপূর্ব বলে কথা ,Positive
এইতো অনেক সুন্দর কাপুর চুপুর আর একটু ছোট করতে হবে আমাদের সমাজের ছেলে মেয়েরা আর শিখুক রেপ ধর্ষণ এই গুলা শারীরিক ব্যাময়ে পরিনত হউক ......এই ধরনের নাটক মাথায় আসে কি ভাবে ))) আমি কাউকেই বকা দিতে ইচ্ছুক নই জানা মতে ৯৯% মুসলিম এই নাটকে সবাইকে আল্লাহ হাদায়েত দান করুক,Negative
এই নাটকের পোশাক গুলো ছিলো অসাধারণ,Positive
তানজিন তিসা রিয়েলি  অনেক হট এনড সেক্সি,Positive
মাবরুর রশিদ বান্নাহ একজন ব্রিলিয়ান্ট ডিরেক্টর     তার প্রতিটি কাজ এত বাস্তবিক ভাবে ফুটিয়ে তোলেন যা তুলনার শেষ নেই ,Positive
মেহেজাবিন এর এক্সটা কেয়ার করাটা একটু ভালো লাগলো না ,Negative
নাটক টা এক কথায় অসাধারণ   কিছু বলার নাই  ,Positive
নামাজ পড়ার আলটিমেট টা অনেক ভালো লাগলো,Positive
এটা অনেক কষ্টের  আসলে মেয়েরা অনেক স্বার্থপর  একটা মেয়ে পৃথিবীর সব কিছু বুঝতে পারে কিন্তু তার বেষ্ট ফ্রেন্ড যে তাকে পাগলের মত ভালোবাসে এটা সে বুঝতে পারে না  অথবা ইচ্ছে করেই বুঝতে চায় না   নিজের ভালোবাসার মানুষটিকে চোখের সামনে অন্যের হাতে তুলে দিতে হয়   সারা জীবন এ কষ্টটা মনের মধ্যে থাকে  ,Negative
অনেক ভালো লাগলো,Positive
সত্যিই অসাধারন  ভালো থাকুক ভালোবাসার মানুষেরা,Positive
সত্যি মন ছুয়ে দিল আর কাদিয়ে দিল  খুব ভাল লাগল,Positive
হা হা   সব মিলিয়ে অসাধারণ হয়েছে মোটকথা কথা কি  বাংলাদেশের নাটক তো অসাধারণ হতেই হবে ইন্ডিয়ান সিরিয়াল এর মতো নোংরা চিন্তা ধারা তো এদেশের পরিচালকরা চিন্তা করে না  পরিচালক সহ সবাইকে ধন্যবাদ এমন একটা নাটক উপহার দেওয়ার জন্য ,Positive
অনেকবার প্রেম করা ছেলে   একজন প্রেমিকা হারানোর কষ্টে  আত্মহত্যা করতে যায় না  এতটা ভেঙ্গে পরে শুধু প্রথম প্রেম হলে   টেলিফিল্ম দেখে শুধু একটা কথাই  মাথায় আসছে   বাংলার কবির সিং 😏!,Positive
এই ধরনের নাটক ই আমরা চাই    খুব ভালো লাগছেআজ কাল প্রেম টেম নিয়ে যে নাটক গুলো তৈরি হচ্ছে তা দেখলে ঘুম# পায়Thanks নাটক অনেক ভালো লাগছে,Positive
অসাধারণ নাটক,Positive
অনেক সুন্দর     বলে বুজাতে পারবো না ,Positive
সাবিলা নুর ওভার অ্যাক্টিং করে  বাজে অভিনয়  ,Negative
এ সব  ও দেখতে হলো,Negative
দারুন চোখ দিয়ে জল বেরিয়ে গেলদারুন অভিনয় করেছেন ভাই,Positive
খুবই ভালো,Positive
হাসতে হাসতে আমি শেষ হয়ে গেলাম..আজব ডাইরেক্ট এর আজব নাটক,Negative
এখনো ভাল লাগছে কয় একদিন পর পর দেখি পর্ব ৩ আসলে ভাল হয়!!,Positive
অসম্ভব সুন্দর একটা নাটক  অনেক ভালো লাগল,Positive
Banna vaia I like u আপনার প্রত্যেক টা নাটক শর্ট নাটক সব দেখছি  আর যত দেখি তত শিখি  আসলে যেই জিনিস থেকে শেখার কিছু নাই তা দেখলেও বা না দেখলেও কোন লাভ নাই  আমি আপনাকে ধন্যবাদ জানাই এমন শিক্ষনীয় কিছু  আমাদের উপহার দেয়ার জন্য ,Positive
হৃদয় ছুঁয়ে গেছে,Positive
আফরান নিশো  তানজিন তিশা   সেরা জুটি,Positive
নামাজ পড়ার বিষয়টা ভালো লাগছে  ,Positive
কি আর দেখব শুরুতেই তো নোংরামী !,Negative
তিশা আপু ওভার বাল পাকনা,Negative
অনেক ভালো লাগছে   ,Positive
নাটকটা অসাধারণ লেগেছে!,Positive
সত্যিই অসাধারণ...,Positive
দেশে আসলেই খুব ভালো নাটক হচ্ছে,Positive
চুপ আপনি ফাজিল আপনার মেয়ে ফাজিল আপনি অসভ্য আপনার মেয়ে অসভ্য,Negative
আমি সাধারণত  নাটকে কমেন্ট করি না  কিন্তু এই নাটকটা আমার কাছে খুব ভাল লাগলো .........,Positive
নাটকটা দেখতে দেখতে চোখে পানি চলে এলো আর এই ঈদে এই নাটকটা সবচেয়ে সুন্দর হয়েছে ধন্যবাদ শাহানাজ খুশিকে ধন্যবাদ দীপু হাজরাকে ধন্যবাদ সকল অভিনেতাকে আর ও এমন নাটক দেখতে চায়,Positive
নামাজের নির্দেশনাটা ভালোই লেগেছে... খুবই সুন্দর ছিলো নাটকটি ...  ধন্যবাদ সবাইকে .........,Positive
সেরা সেরা,Positive
আরিয়ান ভাইয়া মানে ভিন্ন কিছুনিশো ও মেহজাবিন এর জন্য রইলো অনেক ভালোবাসা,Positive
নিশো ভাইয়ের নাটক যেন এমন অশ্লীল হবে ভাবতে পারি নাই  ভাই  নাটক গুলো পরিবেশ বান্দব করেন ,Negative
আমি যতবার নাটক টা দেখেছি ততোবার লাইক দেওয়ার যদি কোন ব্যবস্থা থাকত তাহলে ১০+ লাইক যুক্ত হত অপূর্ব মানেই দারুন কিছু উপহার!!হৃদয়স্পর্শী এই নাটকটিতে বাস্তবতার পরিনতি স্পষ্টভাবে দেখানো হয়েছে বাংলাদেশ নাটকের দিক থেকে সেরা বাংলাদেশের মতো এত সুন্দর নাটক পৃথিবীর অন্য কোন দেশে তৈরী হয়না আমি সত্যিই গর্ববোধ করি আমাদের বাংলাদেশের নাটক নিয়ে  এছাড়াও অপূর্ব ও মেহজাবিন দুজনেই অভিনয়ে দারুণ পারদর্শী ,Positive
অসাধারণ লাগছে নাটকটি    অপূর্ব ভাইয়ের নাটক খুব ভালো লাগে   কিন্তু শেষের দিকে কারো সাথে দেখা হল না  ,Positive
ফালতু গল্প  বলদা ছেলেদের চরিত্রে কোনো পুরুষকেই তো ভালো লাগে না  ইন্ডিয়ান অনেক স্টুপিড গল্পকে ফলো করা হয়েছে  এরকম গল্প চাই না ,Negative
তানজিন তিশা ছেলেদের গায়ে বেশি বেশি ওড়তে ছায়  পালতু মেয়ে,Negative
বালের নাটক ,Negative
অসাধারন নাটক ওনলি মি ধন্যবাদ কাজল আরেফিন ওমি স্যার ,Positive
গল্পটা হ্যাপি এন্ডিং হলে ভালো হতো,Positive
নাটকটা সুন্দর হয়েছে অনেক,Positive
অবৈধ ভালোবাসার জন্য নিজের জীবন দিতে রাজি আছে  কিন্তু  মা বাবা কত কষ্ট করে ছোট থেকে লালন পালন করে বড় করেছে  তাদের জন্য ভালোবাসা হয়না  তাদের ঠিকনা হয় বিন্দারসম  ,Positive
অস্থির এক নাটক এটা,Negative
শামীম ভাই খুব ভাল,Positive
নাটক টা দেখে অনেক ভালো লাগলো,Positive
অসাধারন নাটক,Positive
অসাধারণ ডেলিভারি,Positive
অনেক মজা পাইলাম নাটক দেকে হাই আমার জানু  আমার লগে দুস্টমি করে,Positive
কিছু কিছু নাটকের কোন কমেন্ট বা বলার মত ভাষা থাকে না কিন্তু অনুভূতিটা এমন ভাবে প্রদশন করেন যা কিনা দশকের মনে অদ্ভূত ভালোবাসা তৈরি হয় ঐখানেই পুরোটিমের স্বাথকতা   নি:সন্দেহে ভালো কাজ বলার প্রযোজন হয় না  ,Positive
সব সময় বান্নাহ ভাই আর অপূর্ব ভাইর রসায়ন অসাধারণ! আর এবারের জীবন নাটক টা একদম জোশ ,Positive
আমাদের দেশের ছবি গুলো থেকে নাটক গুলো হাজার গুন ভালো লাগে এগিয়ে যান আর আমাদের আরো সুন্দর নাটক উপার দেন ধন্যবাদ ভাই,Positive
পশ্চিম বাংলা থেকে বলছি এই নাটকের প্রথম ভাগ দেখে এতটাই মুগ্ধ হয়েছি যখন দেখলাম এর sequel আসছে অধীর আগ্রহে অপেক্ষায় ছিলাম দেখার জন্য  আর সেটা হতেই সময় নষ্ট করিনি  এককথায় অনবদ্য  দারুন  ভাষা খুঁজে পাচ্ছিনা  বাংলা কোন টিভি show দেখতে আমি আমার দেশের বাংলা চ্যানেলের থেকে বাংলাদেশের youtube চ্যানেল prefer করি  Content far better. বাংলাদেশ তোমায় নমস্কার তোমায় সেলাম ,Positive
মনকে কুরুচি-অস্লীল-পর্নগ্রফী এবং বিসন্যতা থেকে মুক্ত রাখতে বাংলা নাটক দেখুন সবসময়,Positive
অসাধারণ অসাধারণ অসাধারণ মেহেজাবিন আর নিশো ভাইয়ের অভিনয়ের কোন কমতি ছিলনা এই নাটকে আশা করি নেক্সটে এর চাইতেও আরো ভালো নাটক দেখতে পারবো আপনাদের এই জুটির মাধ্যমে,Positive
পরিচালকে কী বলব জানি না  ভাষা প্রকাশ করা যায় না  ধন্যবাদ ব্স্ ধন্যবাদ ,Positive
বাজে হয়েছেআশানুরূপ হয়নি,Negative
অসাধারণ ,Positive
